period,country,country_code,ecb_rate,inflation,gdp_growth,credit_growth,year,quarter,period_str
2019Q3,France,FRA,0.288,2.462,3.771,3.946,2019,3,2019Q3
2019Q4,France,FRA,0.083,3.291,2.16,5.098,2019,4,2019Q4
2020Q1,France,FRA,-0.009,3.512,1.132,4.564,2020,1,2020Q1
2020Q2,France,FRA,-0.12,4.706,2.279,6.302,2020,2,2020Q2
2020Q3,France,FRA,-0.109,5.792,1.87,3.692,2020,3,2020Q3
2020Q4,France,FRA,-0.135,6.716,1.368,3.79,2020,4,2020Q4
2021Q1,France,FRA,-0.248,8.147,0.711,3.336,2021,1,2021Q1
2021Q2,France,FRA,0.244,8.635,0.764,4.153,2021,2,2021Q2
2021Q3,France,FRA,0.485,9.513,0.367,2.157,2021,3,2021Q3
2021Q4,France,FRA,1.025,10.547,0.429,1.99,2021,4,2021Q4
2022Q1,France,FRA,1.384,10.331,-0.222,1.802,2022,1,2022Q1
2022Q2,France,FRA,1.839,9.337,0.095,1.453,2022,2,2022Q2
2022Q3,France,FRA,2.239,8.389,0.288,0.885,2022,3,2022Q3
2022Q4,France,FRA,2.685,6.907,0.303,1.45,2022,4,2022Q4
2023Q1,France,FRA,2.85,6.149,1.474,2.799,2023,1,2023Q1
2023Q2,France,FRA,3.587,5.373,0.119,-0.033,2023,2,2023Q2
2023Q3,France,FRA,4.064,3.933,0.305,1.047,2023,3,2023Q3
2023Q4,France,FRA,4.108,3.711,0.498,0.397,2023,4,2023Q4
2003Q1,Italie,ITA,3.62,2.485,2.105,-4.199,2003,1,2003Q1
2003Q2,Italie,ITA,3.476,2.234,1.681,-2.009,2003,2,2003Q2
2003Q3,Italie,ITA,3.698,2.861,2.074,-3.588,2003,3,2003Q3
2003Q4,Italie,ITA,3.922,2.548,1.753,-3.995,2003,4,2003Q4
2004Q1,Italie,ITA,4.035,2.787,2.138,-2.416,2004,1,2004Q1
2004Q2,Italie,ITA,4.009,2.426,1.263,-1.015,2004,2,2004Q2
2004Q3,Italie,ITA,4.166,2.852,2.839,-1.336,2004,3,2004Q3
2004Q4,Italie,ITA,4.426,2.706,2.788,-4.838,2004,4,2004Q4
2005Q1,Italie,ITA,4.203,2.26,2.963,-3.498,2005,1,2005Q1
2005Q2,Italie,ITA,4.299,2.371,1.45,-1.844,2005,2,2005Q2
2005Q3,Italie,ITA,4.565,2.404,3.607,-3.719,2005,3,2005Q3
2005Q4,Italie,ITA,4.594,2.381,3.423,-2.841,2005,4,2005Q4
2006Q1,Italie,ITA,4.694,2.716,3.524,-2.085,2006,1,2006Q1
2006Q2,Italie,ITA,4.829,2.503,2.042,-4.781,2006,2,2006Q2
2006Q3,Italie,ITA,4.907,2.58,2.917,-3.128,2006,3,2006Q3
2006Q4,Italie,ITA,5.006,2.985,2.597,-5.475,2006,4,2006Q4
2007Q1,Italie,ITA,5.031,2.71,-4.891,-7.78,2007,1,2007Q1
2007Q2,Italie,ITA,5.375,2.635,-4.591,-6.832,2007,2,2007Q2
2007Q3,Italie,ITA,5.401,2.581,-0.457,-7.463,2007,3,2007Q3
2007Q4,Italie,ITA,5.421,2.531,1.291,-4.031,2007,4,2007Q4
2008Q1,Italie,ITA,5.721,4.12,2.198,-5.415,2008,1,2008Q1
2008Q2,Italie,ITA,4.975,3.364,1.485,-3.682,2008,2,2008Q2
2008Q3,Italie,ITA,4.524,3.247,1.308,-3.574,2008,3,2008Q3
2008Q4,Italie,ITA,4.088,2.144,1.492,-0.898,2008,4,2008Q4
2009Q1,Italie,ITA,3.755,2.046,2.041,-1.801,2009,1,2009Q1
2009Q2,Italie,ITA,3.382,1.513,0.005,-2.703,2009,2,2009Q2
2009Q3,Italie,ITA,2.852,0.443,0.247,-0.668,2009,3,2009Q3
2009Q4,Italie,ITA,2.547,0.655,0.435,0.228,2009,4,2009Q4
2010Q1,Italie,ITA,2.37,1.145,-0.236,-0.753,2010,1,2010Q1
2010Q2,Italie,ITA,2.672,1.758,-0.2,-1.439,2010,2,2010Q2
2010Q3,Italie,ITA,2.606,1.885,-0.832,-2.673,2010,3,2010Q3
2010Q4,Italie,ITA,2.896,2.381,-2.437,-3.959,2010,4,2010Q4
2011Q1,Italie,ITA,2.812,2.697,1.457,-3.229,2011,1,2011Q1
2011Q2,Italie,ITA,2.841,2.319,0.159,0.446,2011,2,2011Q2
2011Q3,Italie,ITA,3.015,3.271,1.156,-3.707,2011,3,2011Q3
2011Q4,Italie,ITA,2.975,3.227,0.685,-3.13,2011,4,2011Q4
2012Q1,Italie,ITA,3.062,2.977,0.401,-3.267,2012,1,2012Q1
2012Q2,Italie,ITA,2.951,2.797,0.824,-0.75,2012,2,2012Q2
2012Q3,Italie,ITA,2.835,3.052,1.343,-2.053,2012,3,2012Q3
2012Q4,Italie,ITA,2.895,2.024,1.482,0.476,2012,4,2012Q4
2013Q1,Italie,ITA,2.801,2.88,2.189,-2.033,2013,1,2013Q1
2013Q2,Italie,ITA,2.838,3.039,2.674,-0.705,2013,2,2013Q2
2013Q3,Italie,ITA,2.597,1.991,1.414,-1.88,2013,3,2013Q3
2013Q4,Italie,ITA,2.729,2.171,2.299,2.138,2013,4,2013Q4
2014Q1,Italie,ITA,2.466,2.207,2.448,-1.823,2014,1,2014Q1
2014Q2,Italie,ITA,2.335,1.959,1.187,-0.154,2014,2,2014Q2
2014Q3,Italie,ITA,2.416,1.518,1.933,0.733,2014,3,2014Q3
2014Q4,Italie,ITA,2.37,1.675,2.397,0.631,2014,4,2014Q4
2015Q1,Italie,ITA,2.399,1.511,1.505,-0.5,2015,1,2015Q1
2015Q2,Italie,ITA,2.117,1.918,2.623,0.211,2015,2,2015Q2
2015Q3,Italie,ITA,2.181,1.454,1.842,0.248,2015,3,2015Q3
2015Q4,Italie,ITA,1.972,1.599,2.242,0.36,2015,4,2015Q4
2016Q1,Italie,ITA,2.016,1.327,2.844,2.163,2016,1,2016Q1
2016Q2,Italie,ITA,1.865,0.584,1.774,3.874,2016,2,2016Q2
2016Q3,Italie,ITA,1.896,1.482,2.049,-0.106,2016,3,2016Q3
2016Q4,Italie,ITA,2.022,0.453,1.267,-1.133,2016,4,2016Q4
2017Q1,Italie,ITA,1.878,0.882,-13.112,-5.984,2017,1,2017Q1
2017Q2,Italie,ITA,1.819,0.819,-4.414,1.505,2017,2,2017Q2
2017Q3,Italie,ITA,1.682,0.184,5.204,1.933,2017,3,2017Q3
2017Q4,Italie,ITA,1.731,0.886,4.057,4.167,2017,4,2017Q4
2018Q1,Italie,ITA,1.604,0.475,2.953,4.09,2018,1,2018Q1
2018Q2,Italie,ITA,1.469,0.63,2.816,1.212,2018,2,2018Q2
2018Q3,Italie,ITA,1.579,0.105,3.735,3.223,2018,3,2018Q3
2018Q4,Italie,ITA,1.468,0.098,3.49,4.632,2018,4,2018Q4
2019Q1,Italie,ITA,1.423,0.335,2.356,1.443,2019,1,2019Q1
2019Q2,Italie,ITA,1.413,1.112,3.476,1.783,2019,2,2019Q2
2019Q3,Italie,ITA,1.299,2.647,3.454,0.624,2019,3,2019Q3
2019Q4,Italie,ITA,1.115,3.453,2.121,-0.732,2019,4,2019Q4
2020Q1,Italie,ITA,1.17,4.15,-0.007,-1.644,2020,1,2020Q1
2020Q2,Italie,ITA,1.027,5.621,2.947,-1.651,2020,2,2020Q2
2020Q3,Italie,ITA,0.995,7.104,0.579,-1.813,2020,3,2020Q3
2020Q4,Italie,ITA,1.054,7.888,0.7,-3.284,2020,4,2020Q4
2021Q1,Italie,ITA,1.142,9.18,1.394,-2.447,2021,1,2021Q1
2021Q2,Italie,ITA,1.539,10.027,2.134,-5.369,2021,2,2021Q2
2021Q3,Italie,ITA,1.642,10.833,1.571,-3.715,2021,3,2021Q3
2021Q4,Italie,ITA,2.314,12.719,1.053,-5.103,2021,4,2021Q4
2022Q1,Italie,ITA,2.753,12.098,0.449,-9.267,2022,1,2022Q1
2022Q2,Italie,ITA,3.104,11.147,0.815,-5.962,2022,2,2022Q2
2022Q3,Italie,ITA,3.464,10.066,0.695,-4.786,2022,3,2022Q3
2022Q4,Italie,ITA,3.713,8.301,0.365,-7.492,2022,4,2022Q4
2023Q1,Italie,ITA,4.318,7.244,0.97,-3.667,2023,1,2023Q1
2023Q2,Italie,ITA,4.731,5.897,0.446,-5.34,2023,2,2023Q2
2023Q3,Italie,ITA,5.236,4.727,-0.442,-7.214,2023,3,2023Q3
2023Q4,Italie,ITA,5.525,3.655,0.429,-5.775,2023,4,2023Q4
2003Q1,Espagne,ESP,3.17,2.663,1.585,-1.527,2003,1,2003Q1
2003Q2,Espagne,ESP,3.204,2.247,1.477,-3.211,2003,2,2003Q2
2003Q3,Espagne,ESP,3.386,2.312,1.89,-0.467,2003,3,2003Q3
2003Q4,Espagne,ESP,3.418,2.913,2.317,-0.749,2003,4,2003Q4
2004Q1,Espagne,ESP,3.523,2.305,2.648,2.24,2004,1,2004Q1
2004Q2,Espagne,ESP,3.502,2.742,1.929,0.268,2004,2,2004Q2
2004Q3,Espagne,ESP,3.802,2.488,2.256,-2.502,2004,3,2004Q3
2004Q4,Espagne,ESP,3.803,2.538,2.789,2.311,2004,4,2004Q4
2005Q1,Espagne,ESP,3.86,2.707,2.285,0.888,2005,1,2005Q1
2005Q2,Espagne,ESP,4.173,2.834,3.985,0.111,2005,2,2005Q2
2005Q3,Espagne,ESP,4.217,2.568,2.835,-1.599,2005,3,2005Q3
2005Q4,Espagne,ESP,4.283,1.977,3.966,-1.996,2005,4,2005Q4
2006Q1,Espagne,ESP,4.288,2.729,3.372,-1.789,2006,1,2006Q1
2006Q2,Espagne,ESP,4.347,2.923,3.334,0.329,2006,2,2006Q2
2006Q3,Espagne,ESP,4.584,2.514,2.715,1.239,2006,3,2006Q3
2006Q4,Espagne,ESP,4.662,2.815,2.315,0.22,2006,4,2006Q4
2007Q1,Espagne,ESP,4.919,2.567,-4.311,-6.224,2007,1,2007Q1
2007Q2,Espagne,ESP,4.937,2.886,-6.003,-8.214,2007,2,2007Q2
2007Q3,Espagne,ESP,4.965,2.821,-0.696,-3.809,2007,3,2007Q3
2007Q4,Espagne,ESP,5.005,2.53,1.553,-5.73,2007,4,2007Q4
2008Q1,Espagne,ESP,5.184,4.584,2.538,-3.446,2008,1,2008Q1
2008Q2,Espagne,ESP,4.648,3.848,1.241,-3.578,2008,2,2008Q2
2008Q3,Espagne,ESP,4.303,3.58,1.427,-3.354,2008,3,2008Q3
2008Q4,Espagne,ESP,3.82,2.507,2.392,-3.39,2008,4,2008Q4
2009Q1,Espagne,ESP,3.296,2.049,0.946,0.351,2009,1,2009Q1
2009Q2,Espagne,ESP,2.856,1.327,1.7,0.076,2009,2,2009Q2
2009Q3,Espagne,ESP,2.324,0.552,0.505,-0.258,2009,3,2009Q3
2009Q4,Espagne,ESP,2.159,0.712,-1.239,-3.632,2009,4,2009Q4
2010Q1,Espagne,ESP,1.982,1.237,-0.328,1.259,2010,1,2010Q1
2010Q2,Espagne,ESP,1.985,1.907,-0.574,3.616,2010,2,2010Q2
2010Q3,Espagne,ESP,2.244,2.294,-0.339,2.942,2010,3,2010Q3
2010Q4,Espagne,ESP,2.606,2.318,-1.412,-1.456,2010,4,2010Q4
2011Q1,Espagne,ESP,2.385,2.431,0.519,-0.575,2011,1,2011Q1
2011Q2,Espagne,ESP,2.471,2.828,-0.028,0.528,2011,2,2011Q2
2011Q3,Espagne,ESP,2.576,3.2,0.865,-1.793,2011,3,2011Q3
2011Q4,Espagne,ESP,2.531,3.881,0.533,-0.214,2011,4,2011Q4
2012Q1,Espagne,ESP,2.684,3.409,0.063,0.39,2012,1,2012Q1
2012Q2,Espagne,ESP,2.422,2.75,1.03,2.334,2012,2,2012Q2
2012Q3,Espagne,ESP,2.441,3.607,2.245,0.209,2012,3,2012Q3
2012Q4,Espagne,ESP,2.464,2.422,1.515,0.404,2012,4,2012Q4
2013Q1,Espagne,ESP,2.355,2.958,0.585,-1.266,2013,1,2013Q1
2013Q2,Espagne,ESP,2.402,3.063,2.723,-0.353,2013,2,2013Q2
2013Q3,Espagne,ESP,2.237,2.561,2.307,0.959,2013,3,2013Q3
2013Q4,Espagne,ESP,2.124,2.586,1.407,1.648,2013,4,2013Q4
2014Q1,Espagne,ESP,2.112,2.298,1.744,2.867,2014,1,2014Q1
2014Q2,Espagne,ESP,1.978,1.922,1.835,0.58,2014,2,2014Q2
2014Q3,Espagne,ESP,2.008,1.861,1.12,3.926,2014,3,2014Q3
2014Q4,Espagne,ESP,2.024,1.831,2.447,1.697,2014,4,2014Q4
2015Q1,Espagne,ESP,2.018,2.051,1.582,1.581,2015,1,2015Q1
2015Q2,Espagne,ESP,1.807,1.857,2.176,1.103,2015,2,2015Q2
2015Q3,Espagne,ESP,1.814,1.389,1.352,-1.676,2015,3,2015Q3
2015Q4,Espagne,ESP,1.789,1.855,1.897,3.614,2015,4,2015Q4
2016Q1,Espagne,ESP,1.763,1.005,3.396,4.608,2016,1,2016Q1
2016Q2,Espagne,ESP,1.704,1.06,1.527,2.188,2016,2,2016Q2
2016Q3,Espagne,ESP,1.624,1.601,3.724,3.517,2016,3,2016Q3
2016Q4,Espagne,ESP,1.456,0.74,1.76,4.114,2016,4,2016Q4
2017Q1,Espagne,ESP,1.33,0.829,-13.798,-6.09,2017,1,2017Q1
2017Q2,Espagne,ESP,1.36,1.241,-3.376,-0.041,2017,2,2017Q2
2017Q3,Espagne,ESP,1.311,0.718,4.812,6.15,2017,3,2017Q3
2017Q4,Espagne,ESP,1.32,0.854,4.05,2.434,2017,4,2017Q4
2018Q1,Espagne,ESP,1.209,0.817,2.309,4.305,2018,1,2018Q1
2018Q2,Espagne,ESP,1.205,0.458,4.312,2.792,2018,2,2018Q2
2018Q3,Espagne,ESP,1.053,-0.16,2.528,5.496,2018,3,2018Q3
2018Q4,Espagne,ESP,1.036,0.303,4.602,5.368,2018,4,2018Q4
2019Q1,Espagne,ESP,1.046,0.283,2.353,1.827,2019,1,2019Q1
2019Q2,Espagne,ESP,0.853,1.437,2.423,5.875,2019,2,2019Q2
2019Q3,Espagne,ESP,0.807,2.926,3.93,2.67,2019,3,2019Q3
2019Q4,Espagne,ESP,0.867,3.972,3.574,1.666,2019,4,2019Q4
2020Q1,Espagne,ESP,0.693,4.941,2.612,2.505,2020,1,2020Q1
2020Q2,Espagne,ESP,0.73,6.636,2.529,2.899,2020,2,2020Q2
2020Q3,Espagne,ESP,0.798,7.267,1.957,-1.302,2020,3,2020Q3
2020Q4,Espagne,ESP,0.774,8.574,1.935,-0.353,2020,4,2020Q4
2021Q1,Espagne,ESP,0.581,10.066,1.36,-0.661,2021,1,2021Q1
2021Q2,Espagne,ESP,1.207,11.029,0.513,-2.089,2021,2,2021Q2
2021Q3,Espagne,ESP,1.299,12.151,0.328,-3.814,2021,3,2021Q3
2021Q4,Espagne,ESP,1.841,13.475,0.758,-6.062,2021,4,2021Q4
2022Q1,Espagne,ESP,2.192,13.175,0.031,-7.437,2022,1,2022Q1
2022Q2,Espagne,ESP,2.606,12.237,0.081,-5.965,2022,2,2022Q2
2022Q3,Espagne,ESP,3.028,10.644,0.746,-7.142,2022,3,2022Q3
2022Q4,Espagne,ESP,3.378,8.803,0.83,-9.434,2022,4,2022Q4
